Customer_ID,action_id,action_name,priority_score,channel,template,group
CUS000001,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000002,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.291263,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000003,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000004,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000005,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.246354,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000006,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.22848,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000007,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000008,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000009,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000010,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000011,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.289936,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000012,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.285965,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000013,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000014,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000015,COUPON10,Coupon 10%/bundle deal,0.15925,App/Email,Tặng Coupon 10% và gợi ý combo phù hợp,HEAVY
CUS000016,REMIND_APP,Nhắc mở app + ưu đãi chung,0.00864,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000017,REMIND_APP,Nhắc mở app + ưu đãi chung,0.004016,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000018,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,0.000447,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000019,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000020,EDU_CONTENT,Gợi ý nội dung/giải thích lợi ích,2.1e-05,App/Email,"Gợi ý nội dung hữu ích, giải thích lợi ích dịch vụ",LIGHT
CUS000021,COUPON10,Coupon 10%/bundle deal,0.08292,App/Email,Tặng Coupon 10% và gợi ý combo phù hợp,HEAVY
CUS000022,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000023,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000024,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000025,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000026,REMIND_APP,Nhắc mở app + ưu đãi chung,0.002482,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000027,REMIND_APP,Nhắc mở app + ưu đãi chung,0.003113,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000028,REMIND_APP,Nhắc mở app + ưu đãi chung,0.003469,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000029,REMIND_APP,Nhắc mở app + ưu đãi chung,0.007479,App/Email,"Nhắc mở app, xem ưu đãi chung",LIGHT
CUS000030,QUALITY_SWITCH,Chuyển nhà hàng/đảm bảo chất lượng + xin lỗi,0.078426,CS call,"Xin lỗi + đề xuất nhà hàng chất lượng, bảo chứng vệ sinh",HEAVY
CUS000031,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000032,SLA_UP,Ưu tiên giao nhanh/slot VIP + ETA rõ,0.098707,Push/SMS,Ưu tiên giao nhanh + hiển thị ETA rõ cho đơn sắp tới,HEAVY
CUS000033,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
CUS000034,NO_ACTION,Không gửi – không đủ điều kiện / ưu tiên thấp,0.0,App,,NONE
